bp_rp,g_rp
3.0198898,1.2844162
2.2930946,1.3596458
1.4464455,1.3455772
1.2132702,0.8221264
1.3602886,0.7225857
1.4876652,0.79571915
1.2449951,0.66994476
2.1380634,1.1588097
1.7961903,1.2882633
1.2792645,0.6968975
1.8158703,0.92520714
1.9924545,0.9840126
1.3183136,0.7257767
1.426197,0.75580215
1.3992214,0.75813484
1.2306967,0.69523525
1.2897339,0.8047886
2.2183075,1.6682549
3.050478,1.3368855
1.1208477,0.6592369
2.2460823,1.0995331
1.031496,0.87021255
1.5077152,0.9021988
1.2895079,0.72396755
1.7622204,0.9070778
1.6849518,0.88778305
1.8786125,0.9214268
1.1731491,0.75214386
1.352951,0.7384949
1.5530577,0.8270292
1.390007,0.7622719
1.2353668,0.70084953
1.5719986,0.83571625
1.4756584,0.8031254
1.9051228,1.3299274
1.2625237,0.87191963
2.7374363,1.2714043
2.400938,1.2969093
1.310545,0.7256508
1.3779755,0.750967
2.6682396,1.1751595
1.7611427,1.2341652
1.824234,0.98470306
1.2747631,0.64502335
1.6298275,1.0365734
1.1019382,0.63991547
1.5507736,0.8312664
1.453682,0.7821655
1.6314678,0.8584366
2.0352612,1.1020546
1.4021778,0.7719183
1.7509289,1.1086006
1.3869209,1.0209675
1.4008217,0.78829956
2.068594,1.0404072
1.648819,1.1435013
1.8282032,1.2935753
0.9916115,0.6586094
1.7707386,1.1297779
1.1670475,0.6260586
1.8128624,0.9904957
1.4113083,1.0777321
1.6912613,1.0347424
1.1953545,0.59955025
1.4230843,0.7748928
1.1439991,0.746912
1.3428898,0.7479763
1.5226336,0.81649685
2.1147804,1.0798473
1.3071451,0.7858305
1.223423,0.6857014
1.5837345,0.84272385
1.1912975,0.6623802
1.1035252,0.6762409
1.4977112,0.8542843
1.3099575,0.7271061
1.3324356,0.6659298
2.4162502,1.1867447
3.0581512,1.4564056
1.0470066,0.585804
1.5917568,0.8632374
1.2649183,0.71288013
1.3983431,0.76522636
1.4503708,1.231842
1.2279968,0.7045078
2.2131119,1.0328865
1.297535,0.71683884
2.556549,1.0939999
0.10065842,1.0833435
1.6722031,0.71460915
1.5023842,0.8126583
1.5259476,0.80587006
1.1031723,0.78323746
1.5928116,1.3369274
2.4786358,1.1317692
1.2462921,0.71816635
1.7357311,1.2528114
1.1468849,0.9799042
1.6980839,1.0959091
-2.753706,0.9082489
2.0511608,0.97561646
1.8178158,0.9992008
0.46348572,0.59942436
0.80935097,0.47114563
1.7100048,0.8264351
2.5411682,1.214817
1.5775442,0.8378172
1.2768593,0.7315235
1.1558342,0.67560005
1.4170513,0.7414074
2.4696789,1.0922928
1.1889191,0.8865452
1.0582371,0.632164
1.2893677,0.6848564
1.4626064,0.7238369
1.59939,0.8155308
1.209507,0.6915703
2.3015785,1.0805092
2.4232655,1.1702023
1.2482643,0.68840027
2.8351612,1.2308178
2.3446121,1.1143436
1.954874,1.2843819
0.84544945,0.9423599
1.3393326,0.74941444
1.164854,0.66854
1.6453266,0.8536587
2.4641228,1.1894321
1.217617,0.6741829
2.21352,1.235033
1.8280334,0.9175377
2.3810577,1.1738758
2.5667877,1.3289795
1.5054684,0.7961025
2.0779324,0.9619713
1.933733,1.0634689
1.9346275,0.9687786
0.7019577,0.6564617
2.3101463,1.2643471
1.9918976,0.9884834
1.4530668,0.79573345
1.8611126,0.9429836
1.1718464,1.0310841
2.9737282,1.2411842
1.5250225,0.7958355
2.0879955,1.036396
1.2529926,0.84605217
2.6393661,1.6007252
1.8321075,0.8888359
1.1399574,0.94426346
1.5567856,1.0165501
2.4794216,1.0875683
1.1166162,0.6477337
1.1826668,0.6771984
2.0337868,1.0391293
2.2167873,1.0195637
0.9887562,0.8165455
2.156664,1.1675949
